,datetime,post
160,2021-10-01 17:05:34,$GOOG Waiting for Buy signal on GOOG with. Stock Trading Ideas by https://t.co/jpmUt7BvVp! https://t.co/njcJNJtqy2
161,2021-10-01 17:05:14,"@Nasdaq Achor, S. (2018). Big potential: Five secrets of reaching higher by powering those around you. London, Unit… https://t.co/9Uk7nff9Zs"
162,2021-10-01 17:01:08,"@qcapital2020 $MSFT $GOOGL $AAPL $FB $ADBE $GOOG $COST $LOW $HD $SBUX 

Unpopular opinion on worst performers from… https://t.co/LV9fSIJsU6"
163,2021-10-01 17:00:22,"RT @freefloatmedia: What force is so strong it is GROUNDING #Google's home delivery drones in Australia?? 

More business headlines on the…"
164,2021-10-01 17:00:10,"RT @AutumnCapital: Citi advising against $FB and $GOOG in favor of $AMZN.

Buy all fuccin three."
165,2021-10-01 17:00:04,"【GAFAM】
📱 $GOOG 2709.45 (+1.66%)
🛒 $AMZN 3267.41 (-0.54%)
📘 $FB 342.58 (+0.94%)
🍎 $AAPL 140.49 (-0.71%)
🖥 $MSFT 286… https://t.co/H67ZswuNEL"
166,2021-10-01 16:59:36,"RT @stonksrus: #stonksteam Thursday
#EndofQuarter 
#ReverseRepo 
September 30, 2021
#Only $1.6 Trillion!!!!

I thought $3 was in play.

$sp…"
167,2021-10-01 16:57:01,"Bull Forecasts
October 01, 2021 09:52:00 PDT
🐂🐂🐂🐂🐂
ticker : log change intraday
$CCXI : 5.61
$NVDA : -1.92
$VIXY :… https://t.co/DLuNPTg8K7"
168,2021-10-01 16:56:49,@BlueOceanInv @TickerSymbolYOU $MSFT? $GOOG?
169,2021-10-01 16:55:29,"RT @JunkoSu22993224: Chainlink Refused to Sell Itself to Google.
Google approached #Chainlink to buy it for undisclosed amount. Rumors is $…"
